profile_id,email,first_name,last_name,timezone,account_type,is_gift_purchaser_2025Q4,first_order_date,last_order_date,orders_count,ltv_usd,engagement_tier,sms_consent,created_source
MT-20015,nina.ito20015@example.com,Nina,Ito,America/Los_Angeles,consumer,false,2025-08-08,2024-12-11,1,412.15,unengaged_12m,false,checkout
MT-20016,yuki.petrov20016@example.com,Yuki,Petrov,America/Denver,consumer,false,2022-10-22,2026-04-24,1,294.21,unengaged_12m,false,checkout
MT-20017,devon.torres20017@example.com,Devon,Torres,America/New_York,consumer,false,2023-02-28,2025-09-08,1,294.94,engaged_90,false,checkout
MT-20018,marcus.sy20018@example.com,Marcus,Sy,America/Denver,consumer,false,2025-09-19,2025-02-09,1,361.48,engaged_365,false,checkout
MT-20019,riley.ferris20019@example.com,Riley,Ferris,America/New_York,consumer,false,2023-10-18,2024-11-12,1,139.76,engaged_365,false,checkout
MT-20020,ingrid.lang20020@example.com,Ingrid,Lang,America/Chicago,consumer,false,2024-11-23,2026-06-25,1,228.82,engaged_365,false,checkout
MT-20021,sam.sy20021@example.com,Sam,Sy,America/New_York,consumer,false,2025-05-01,2024-08-28,1,262.63,engaged_365,false,checkout
MT-20022,ingrid.macleod20022@example.com,Ingrid,MacLeod,America/Los_Angeles,consumer,false,2025-04-25,2024-03-30,4,1115.32,engaged_90,false,checkout
MT-20023,elena.ito20023@example.com,Elena,Ito,America/Los_Angeles,consumer,true,2024-10-01,2025-12-05,1,387.26,unengaged_12m,false,checkout
MT-20024,marcus.achebe20024@example.com,Marcus,Achebe,America/New_York,consumer,false,2023-09-20,2026-02-22,1,284.26,unengaged_12m,false,checkout
MT-20025,theo.lang20025@example.com,Theo,Lang,America/New_York,consumer,false,2025-12-07,2024-07-29,1,249.44,engaged_90,false,checkout
MT-20026,alex.nowak20026@example.com,Alex,Nowak,America/New_York,consumer,true,2025-03-02,2025-12-09,1,498.33,engaged_30,false,checkout
MT-20027,harper.achebe20027@example.com,Harper,Achebe,America/Los_Angeles,consumer,false,2024-12-31,2025-06-18,1,376.19,unengaged_12m,false,checkout
MT-20028,elena.ito20028@example.com,Elena,Ito,America/New_York,consumer,true,2026-05-10,2025-12-09,1,335.1,engaged_30,false,checkout
MT-20029,sam.haas20029@example.com,Sam,Haas,America/Los_Angeles,consumer,false,2023-05-08,2025-06-06,1,246.28,engaged_90,false,checkout
MT-20030,ingrid.macleod20030@example.com,Ingrid,MacLeod,America/Los_Angeles,consumer,false,2022-12-04,2025-09-29,1,362.82,engaged_30,false,checkout
MT-20031,riley.haas20031@example.com,Riley,Haas,America/New_York,wholesale,false,2026-03-30,2026-07-23,20,7885.22,engaged_365,false,checkout
MT-20032,ingrid.petrov20032@example.com,Ingrid,Petrov,America/New_York,consumer,false,2023-05-22,2024-04-05,1,216.32,unengaged_12m,false,checkout
MT-20033,devon.macleod20033@example.com,Devon,MacLeod,America/New_York,consumer,false,2022-11-19,2026-03-17,1,190.34,engaged_90,true,checkout
MT-20034,morgan.ramirez20034@example.com,Morgan,Ramirez,America/New_York,consumer,false,2024-04-24,2024-02-28,1,302.43,unengaged_12m,false,checkout
MT-20035,rowan.kowalski20035@example.com,Rowan,Kowalski,America/Chicago,consumer,false,2024-12-21,2025-07-31,1,313.74,unengaged_12m,false,checkout
MT-20036,quinn.kowalski20036@example.com,Quinn,Kowalski,America/Los_Angeles,consumer,false,2023-10-15,2025-10-26,1,363.44,engaged_30,false,checkout
MT-20037,alex.ito20037@example.com,Alex,Ito,America/New_York,consumer,true,2026-03-20,2025-12-10,1,285.53,engaged_365,true,checkout
MT-20038,ingrid.achebe20038@example.com,Ingrid,Achebe,America/Denver,consumer,false,2023-09-05,2026-03-07,3,691.11,engaged_365,false,checkout
MT-20039,ingrid.grant20039@example.com,Ingrid,Grant,America/Los_Angeles,consumer,false,2023-07-07,2024-06-28,1,330.47,unengaged_12m,false,checkout
MT-20040,dana.macleod20040@example.com,Dana,MacLeod,America/New_York,consumer,true,2023-12-02,2025-12-01,1,360.27,engaged_365,false,checkout
MT-20041,omar.haas20041@example.com,Omar,Haas,America/New_York,consumer,true,2023-08-18,2025-12-17,2,530.86,engaged_30,false,checkout
MT-20042,harper.ito20042@example.com,Harper,Ito,America/Los_Angeles,consumer,false,2023-11-14,2025-03-20,2,597.99,engaged_30,false,checkout
MT-20043,rowan.kowalski20043@example.com,Rowan,Kowalski,America/Denver,consumer,false,2025-08-16,2025-09-02,1,400.06,unengaged_12m,false,checkout
MT-20044,dana.achebe20044@example.com,Dana,Achebe,America/New_York,consumer,false,2022-08-30,2025-03-24,1,227.2,engaged_365,false,checkout
MT-20045,leah.bennett20045@example.com,Leah,Bennett,America/Phoenix,consumer,true,2025-12-20,2025-12-15,1,176.65,engaged_30,false,checkout
MT-20046,leah.haas20046@example.com,Leah,Haas,America/New_York,consumer,false,2023-07-06,2025-11-12,4,1264.2,engaged_30,false,checkout
MT-20047,ingrid.haas20047@example.com,Ingrid,Haas,America/Los_Angeles,consumer,true,2023-09-22,2025-12-01,1,300.73,unengaged_12m,false,checkout
MT-20048,nina.duval20048@example.com,Nina,Duval,America/Los_Angeles,consumer,false,2024-08-18,2024-06-30,1,337.04,engaged_90,false,checkout
MT-20049,devon.ramirez20049@example.com,Devon,Ramirez,America/Los_Angeles,consumer,false,2024-03-31,2025-07-04,1,334.43,engaged_365,false,checkout
MT-20050,theo.haas20050@example.com,Theo,Haas,America/Los_Angeles,consumer,false,2025-08-13,2025-11-25,1,225.34,engaged_365,false,checkout
MT-20051,marcus.grant20051@example.com,Marcus,Grant,America/Los_Angeles,consumer,false,2023-05-06,2025-01-22,1,188.36,engaged_30,false,checkout
MT-20052,theo.sy20052@example.com,Theo,Sy,America/Denver,consumer,false,2023-05-14,2026-03-30,3,328.15,engaged_90,false,checkout
MT-20053,harper.haas20053@example.com,Harper,Haas,America/New_York,consumer,true,2022-09-13,2025-12-21,1,300.96,engaged_30,false,checkout
MT-20054,omar.mbeki20054@example.com,Omar,Mbeki,America/New_York,consumer,true,2025-05-15,2025-12-11,8,1946.25,engaged_365,false,checkout
MT-20055,marcus.haas20055@example.com,Marcus,Haas,America/Los_Angeles,consumer,false,2024-02-19,2025-07-11,1,298.57,engaged_365,false,checkout
MT-20056,elena.kowalski20056@example.com,Elena,Kowalski,America/Chicago,consumer,false,2025-03-28,2026-05-05,1,247.0,engaged_90,false,checkout
MT-20057,leah.grant20057@example.com,Leah,Grant,America/Los_Angeles,consumer,true,2026-04-30,2025-12-16,3,583.36,unengaged_12m,false,checkout
MT-20058,sam.nowak20058@example.com,Sam,Nowak,America/Los_Angeles,consumer,false,2025-11-02,2025-12-21,1,199.4,engaged_365,false,checkout
MT-20059,leah.ito20059@example.com,Leah,Ito,America/Chicago,consumer,false,2025-02-22,2025-01-01,2,604.72,engaged_365,false,checkout
MT-20060,morgan.haas20060@example.com,Morgan,Haas,America/Chicago,consumer,false,2023-03-08,2026-01-23,2,679.68,engaged_90,false,checkout
MT-20061,alex.mbeki20061@example.com,Alex,Mbeki,America/New_York,consumer,false,2022-11-01,2024-03-31,4,1298.21,engaged_365,false,checkout
MT-20062,quinn.ramirez20062@example.com,Quinn,Ramirez,America/Los_Angeles,consumer,false,2022-09-01,2024-10-14,1,378.08,engaged_90,false,checkout
MT-20063,marcus.macleod20063@example.com,Marcus,MacLeod,America/Chicago,consumer,false,2024-06-01,2024-09-08,1,297.82,engaged_30,false,checkout
MT-20064,ingrid.ito20064@example.com,Ingrid,Ito,America/New_York,consumer,false,2025-03-17,2025-11-09,1,309.68,engaged_90,false,checkout
MT-20065,omar.ferris20065@example.com,Omar,Ferris,America/New_York,consumer,false,2022-09-20,2026-06-11,1,232.56,engaged_30,false,checkout
MT-20066,devon.ramirez20066@example.com,Devon,Ramirez,America/Phoenix,consumer,true,2024-09-08,2025-12-03,1,359.34,unengaged_12m,false,checkout
MT-20067,riley.lang20067@example.com,Riley,Lang,America/Los_Angeles,consumer,false,2024-04-29,2024-03-31,1,314.51,engaged_90,false,checkout
MT-20068,alex.ito20068@example.com,Alex,Ito,America/New_York,consumer,false,2025-04-15,2025-07-14,4,1728.82,unengaged_12m,false,checkout
MT-20069,theo.ito20069@example.com,Theo,Ito,America/New_York,consumer,false,2023-12-12,2026-01-22,1,429.84,unengaged_12m,false,checkout
MT-20070,theo.macleod20070@example.com,Theo,MacLeod,America/Los_Angeles,consumer,false,2026-02-07,2025-11-17,1,313.07,engaged_30,false,checkout
MT-20071,marcus.haas20071@example.com,Marcus,Haas,America/New_York,consumer,false,2022-08-01,2025-09-17,1,291.25,engaged_90,false,checkout
MT-20072,yuki.ito20072@example.com,Yuki,Ito,America/New_York,consumer,false,2024-04-13,2024-05-21,1,476.19,engaged_365,false,checkout
MT-20073,omar.lindqvist20073@example.com,Omar,Lindqvist,America/New_York,consumer,false,2022-07-27,2024-06-07,1,231.76,engaged_90,false,checkout
MT-20074,leah.reyes20074@example.com,Leah,Reyes,America/Los_Angeles,consumer,false,2024-02-29,2026-06-02,1,248.29,engaged_365,false,checkout
MT-20075,riley.grant20075@example.com,Riley,Grant,America/Los_Angeles,consumer,true,2025-12-23,2025-12-16,1,314.72,unengaged_12m,false,checkout
MT-20076,riley.macleod20076@example.com,Riley,MacLeod,America/New_York,consumer,true,2022-09-22,2025-12-10,3,883.22,engaged_90,false,checkout
MT-20077,marcus.haas20077@example.com,Marcus,Haas,America/Los_Angeles,consumer,false,2025-01-27,2025-12-09,1,384.05,unengaged_12m,false,checkout
MT-20078,elena.ito20078@example.com,Elena,Ito,America/New_York,consumer,false,2022-10-14,2025-04-19,1,301.98,engaged_30,false,checkout
MT-20079,quinn.sy20079@example.com,Quinn,Sy,America/Los_Angeles,consumer,false,2025-10-12,2026-06-17,1,429.45,unengaged_12m,false,checkout
MT-20080,sam.reyes20080@example.com,Sam,Reyes,America/Chicago,consumer,false,2026-06-01,2026-04-21,1,303.5,unengaged_12m,false,checkout
MT-20081,jordan.reyes20081@example.com,Jordan,Reyes,America/New_York,consumer,false,2026-03-27,2024-12-02,13,2186.35,unengaged_12m,false,checkout
MT-20082,elena.grant20082@example.com,Elena,Grant,America/Los_Angeles,consumer,true,2023-05-18,2025-12-04,1,326.12,unengaged_12m,false,checkout
MT-20083,morgan.mbeki20083@example.com,Morgan,Mbeki,America/New_York,consumer,false,2024-02-25,2025-10-21,1,421.42,engaged_90,true,checkout
MT-20084,dana.reyes20084@example.com,Dana,Reyes,America/New_York,wholesale,false,2025-05-06,2025-07-03,36,12529.15,engaged_30,true,checkout
MT-20085,riley.grant20085@example.com,Riley,Grant,America/New_York,consumer,false,2024-05-28,2025-04-23,1,283.38,engaged_30,true,checkout
MT-20086,morgan.nowak20086@example.com,Morgan,Nowak,America/New_York,consumer,false,2024-11-10,2026-02-23,1,240.09,unengaged_12m,false,checkout
MT-20087,omar.torres20087@example.com,Omar,Torres,America/New_York,consumer,true,2023-09-29,2025-12-21,1,283.74,engaged_90,false,checkout
MT-20088,yuki.lindqvist20088@example.com,Yuki,Lindqvist,America/Denver,consumer,false,2023-10-19,2026-02-01,1,245.29,engaged_30,false,checkout
MT-20089,riley.nowak20089@example.com,Riley,Nowak,America/New_York,consumer,false,2025-05-15,2026-06-26,5,1250.55,unengaged_12m,false,checkout
MT-20090,elena.bennett20090@example.com,Elena,Bennett,America/New_York,consumer,false,2024-09-20,2024-12-19,2,610.65,engaged_90,false,checkout
MT-20091,ingrid.sy20091@example.com,Ingrid,Sy,America/New_York,wholesale,false,2023-11-04,2025-12-10,27,6831.4,engaged_365,false,checkout
MT-20092,riley.petrov20092@example.com,Riley,Petrov,America/New_York,consumer,false,2023-08-16,2025-03-03,1,189.52,engaged_30,false,checkout
MT-20093,elena.lang20093@example.com,Elena,Lang,America/New_York,consumer,true,2022-10-16,2025-12-03,3,1178.54,unengaged_12m,false,checkout
MT-20094,casey.torres20094@example.com,Casey,Torres,America/New_York,consumer,false,2022-08-08,2024-05-22,1,338.25,engaged_90,false,checkout
MT-20095,yuki.haas20095@example.com,Yuki,Haas,America/New_York,consumer,false,2023-11-22,2026-03-13,1,152.91,unengaged_12m,false,checkout
MT-20096,dana.haas20096@example.com,Dana,Haas,America/Denver,consumer,false,2022-11-18,2025-10-27,1,310.64,unengaged_12m,false,checkout
MT-20097,harper.bennett20097@example.com,Harper,Bennett,America/Los_Angeles,consumer,false,2023-11-29,2025-01-16,2,724.34,unengaged_12m,false,checkout
MT-20098,harper.mbeki20098@example.com,Harper,Mbeki,America/Denver,consumer,false,2023-03-19,2026-03-11,2,524.8,unengaged_12m,false,checkout
MT-20099,riley.ferris20099@example.com,Riley,Ferris,America/Los_Angeles,consumer,false,2025-01-10,2025-09-24,2,1056.17,unengaged_12m,false,checkout
MT-20100,elena.ramirez20100@example.com,Elena,Ramirez,America/Los_Angeles,consumer,true,2024-05-29,2025-12-08,1,226.4,engaged_365,true,checkout
MT-20101,jordan.ramirez20101@example.com,Jordan,Ramirez,America/Chicago,consumer,false,2023-06-16,2025-12-21,1,225.94,engaged_90,false,checkout
MT-20102,marcus.ferris20102@example.com,Marcus,Ferris,America/Los_Angeles,consumer,true,2023-12-03,2025-12-05,1,324.89,unengaged_12m,false,checkout
MT-20103,nina.haas20103@example.com,Nina,Haas,America/Los_Angeles,consumer,false,2024-06-26,2024-12-07,2,332.15,engaged_365,false,checkout
MT-20104,omar.macleod20104@example.com,Omar,MacLeod,America/New_York,wholesale,false,2025-02-12,2026-02-25,13,3509.64,unengaged_12m,true,checkout
MT-20105,felix.torres20105@example.com,Felix,Torres,America/New_York,consumer,false,2023-08-10,2024-10-13,1,268.93,unengaged_12m,false,checkout
MT-20106,rowan.ito20106@example.com,Rowan,Ito,America/New_York,consumer,false,2026-05-31,2025-07-19,3,933.27,unengaged_12m,false,checkout
MT-20107,leah.lindqvist20107@example.com,Leah,Lindqvist,America/New_York,consumer,false,2026-03-26,2026-04-03,1,160.88,unengaged_12m,false,checkout
MT-20108,harper.kowalski20108@example.com,Harper,Kowalski,America/New_York,consumer,false,2024-12-17,2025-10-09,1,308.3,unengaged_12m,false,checkout
MT-20109,ingrid.ramirez20109@example.com,Ingrid,Ramirez,America/New_York,consumer,false,2025-04-24,2026-02-25,2,380.91,engaged_90,false,checkout
MT-20110,elena.ferris20110@example.com,Elena,Ferris,America/New_York,consumer,false,2023-06-11,2025-04-14,1,243.4,engaged_365,true,checkout
MT-20111,alex.grant20111@example.com,Alex,Grant,America/Los_Angeles,consumer,false,2025-04-05,2025-07-03,3,522.59,engaged_30,false,checkout
MT-20112,morgan.kowalski20112@example.com,Morgan,Kowalski,America/New_York,consumer,true,2026-04-16,2025-12-21,3,780.48,engaged_365,false,checkout
MT-20113,jordan.ito20113@example.com,Jordan,Ito,America/Los_Angeles,consumer,true,2023-06-16,2025-12-13,1,321.62,engaged_30,false,checkout
MT-20114,casey.kowalski20114@example.com,Casey,Kowalski,America/New_York,consumer,false,2022-11-28,2024-10-29,2,371.26,engaged_30,false,checkout
MT-20115,devon.duval20115@example.com,Devon,Duval,America/New_York,consumer,true,2025-01-04,2025-12-12,1,173.46,unengaged_12m,false,checkout
MT-20116,yuki.lang20116@example.com,Yuki,Lang,America/Chicago,consumer,true,2023-07-17,2025-12-16,2,579.79,unengaged_12m,false,checkout
MT-20117,devon.ito20117@example.com,Devon,Ito,America/Chicago,consumer,false,2023-07-07,2026-01-13,1,265.45,unengaged_12m,true,checkout
MT-20118,marcus.petrov20118@example.com,Marcus,Petrov,America/New_York,consumer,false,2023-07-24,2025-11-14,2,779.86,engaged_30,false,checkout
MT-20119,quinn.petrov20119@example.com,Quinn,Petrov,America/New_York,consumer,false,2023-09-13,2024-05-23,2,526.07,engaged_365,false,checkout
MT-20120,elena.reyes20120@example.com,Elena,Reyes,America/New_York,consumer,false,2022-10-30,2026-07-13,3,847.45,engaged_90,false,checkout
MT-20121,felix.lang20121@example.com,Felix,Lang,America/New_York,consumer,false,2023-11-13,2026-03-31,1,201.25,unengaged_12m,false,checkout
MT-20122,jordan.reyes20122@example.com,Jordan,Reyes,America/Chicago,consumer,false,2024-08-20,2026-02-15,3,564.87,unengaged_12m,false,checkout
MT-20123,quinn.achebe20123@example.com,Quinn,Achebe,America/New_York,consumer,false,2023-08-09,2026-01-23,1,316.22,unengaged_12m,false,checkout
MT-20124,yuki.achebe20124@example.com,Yuki,Achebe,America/Los_Angeles,consumer,false,2025-02-15,2025-09-06,1,225.87,engaged_90,false,checkout
MT-20125,casey.lindqvist20125@example.com,Casey,Lindqvist,America/Los_Angeles,consumer,false,2025-08-14,2024-05-16,1,240.38,engaged_90,false,checkout
MT-20126,casey.bennett20126@example.com,Casey,Bennett,America/New_York,consumer,false,2024-01-01,2024-08-27,1,441.54,unengaged_12m,false,checkout
MT-20127,alex.achebe20127@example.com,Alex,Achebe,America/New_York,consumer,false,2025-02-02,2024-03-17,1,297.44,engaged_365,false,checkout
MT-20128,theo.macleod20128@example.com,Theo,MacLeod,America/Denver,consumer,false,2025-03-02,2024-09-11,3,655.07,engaged_30,false,checkout
MT-20129,harper.bennett20129@example.com,Harper,Bennett,America/Los_Angeles,consumer,false,2022-12-02,2026-02-28,1,202.67,engaged_365,false,checkout
MT-20130,yuki.grant20130@example.com,Yuki,Grant,America/Chicago,consumer,false,2026-05-23,2025-07-05,3,1023.68,unengaged_12m,false,checkout
MT-20131,harper.mbeki20131@example.com,Harper,Mbeki,America/New_York,consumer,false,2025-04-30,2025-02-22,4,964.39,unengaged_12m,false,checkout
MT-20132,devon.petrov20132@example.com,Devon,Petrov,America/Chicago,consumer,false,2023-11-21,2026-01-04,2,407.07,engaged_30,false,checkout
MT-20133,casey.ferris20133@example.com,Casey,Ferris,America/New_York,consumer,true,2024-03-17,2025-12-14,1,273.83,unengaged_12m,false,checkout
MT-20134,marcus.costa20134@example.com,Marcus,Costa,America/New_York,consumer,false,2025-03-22,2024-05-09,2,752.02,engaged_365,false,checkout
MT-20135,sam.torres20135@example.com,Sam,Torres,America/Chicago,consumer,false,2025-08-18,2025-08-11,1,248.92,unengaged_12m,false,checkout
MT-20136,theo.sy20136@example.com,Theo,Sy,America/Phoenix,consumer,false,2025-02-27,2025-11-07,1,301.79,unengaged_12m,false,checkout
MT-20137,riley.petrov20137@example.com,Riley,Petrov,America/New_York,consumer,false,2025-01-28,2024-10-06,1,196.51,engaged_365,false,checkout
MT-20138,sam.reyes20138@example.com,Sam,Reyes,America/New_York,consumer,false,2024-08-18,2024-05-27,1,373.7,engaged_365,false,checkout
MT-20139,dana.ramirez20139@example.com,Dana,Ramirez,America/Denver,consumer,false,2024-10-21,2025-11-24,1,337.67,engaged_365,false,checkout
MT-20140,riley.sy20140@example.com,Riley,Sy,America/New_York,consumer,false,2022-08-04,2024-11-23,3,892.67,engaged_30,false,checkout
MT-20141,felix.duval20141@example.com,Felix,Duval,America/New_York,consumer,false,2023-12-28,2024-09-19,1,238.15,engaged_365,false,checkout
MT-20142,quinn.achebe20142@example.com,Quinn,Achebe,America/Chicago,consumer,false,2025-01-25,2025-03-15,1,387.94,engaged_365,false,checkout
MT-20143,riley.okada20143@example.com,Riley,Okada,America/Chicago,consumer,false,2023-11-03,2025-07-20,1,215.48,unengaged_12m,false,checkout
MT-20144,riley.reyes20144@example.com,Riley,Reyes,America/Denver,wholesale,false,2024-08-06,2024-05-01,31,11551.77,engaged_365,false,checkout
MT-20145,morgan.kowalski20145@example.com,Morgan,Kowalski,America/New_York,consumer,false,2025-12-02,2024-03-08,1,322.14,engaged_90,false,checkout
MT-20146,felix.torres20146@example.com,Felix,Torres,America/New_York,consumer,false,2024-06-16,2024-04-12,1,347.5,engaged_90,false,checkout
MT-20147,ingrid.reyes20147@example.com,Ingrid,Reyes,America/Phoenix,consumer,false,2024-08-05,2026-01-23,2,612.99,engaged_90,false,checkout
MT-20148,sam.kowalski20148@example.com,Sam,Kowalski,America/New_York,consumer,true,2025-11-03,2025-12-16,1,212.91,engaged_365,false,checkout
MT-20149,ingrid.mbeki20149@example.com,Ingrid,Mbeki,America/Denver,consumer,false,2022-07-18,2024-09-01,1,248.81,unengaged_12m,false,checkout
MT-20150,leah.lindqvist20150@example.com,Leah,Lindqvist,America/New_York,consumer,false,2022-10-10,2026-07-25,1,312.22,unengaged_12m,false,checkout
MT-20151,felix.haas20151@example.com,Felix,Haas,America/Los_Angeles,consumer,false,2026-05-03,2025-05-23,1,109.86,engaged_365,false,checkout
MT-20152,omar.costa20152@example.com,Omar,Costa,America/Chicago,consumer,true,2024-03-07,2025-12-22,2,352.92,engaged_90,false,checkout
MT-20153,morgan.petrov20153@example.com,Morgan,Petrov,America/Los_Angeles,consumer,false,2023-10-20,2026-01-02,1,343.72,engaged_365,false,checkout
MT-20154,alex.bennett20154@example.com,Alex,Bennett,America/Phoenix,consumer,false,2024-11-26,2024-08-01,1,350.42,engaged_365,false,checkout
MT-20155,jordan.reyes20155@example.com,Jordan,Reyes,America/Los_Angeles,consumer,false,2025-12-23,2025-10-11,2,694.96,unengaged_12m,false,checkout
MT-20156,harper.kowalski20156@example.com,Harper,Kowalski,America/Los_Angeles,wholesale,false,2022-12-25,2026-05-18,12,4263.41,engaged_90,false,checkout
MT-20157,omar.ferris20157@example.com,Omar,Ferris,America/New_York,consumer,false,2023-12-28,2025-04-13,1,203.45,engaged_30,false,checkout
MT-20158,marcus.lindqvist20158@example.com,Marcus,Lindqvist,America/Denver,consumer,false,2023-04-10,2025-08-31,1,328.49,engaged_30,false,checkout
MT-20159,yuki.okada20159@example.com,Yuki,Okada,America/Los_Angeles,consumer,false,2025-08-08,2024-11-30,1,97.34,engaged_365,false,checkout
MT-20160,quinn.nowak20160@example.com,Quinn,Nowak,America/New_York,consumer,false,2022-08-03,2026-08-06,2,587.21,engaged_90,false,checkout
MT-20161,jordan.duval20161@example.com,Jordan,Duval,America/Los_Angeles,consumer,false,2023-03-30,2026-03-10,3,1116.67,unengaged_12m,false,checkout
MT-20162,omar.reyes20162@example.com,Omar,Reyes,America/Chicago,consumer,false,2025-02-19,2025-09-25,1,181.28,unengaged_12m,false,checkout
MT-20163,devon.haas20163@example.com,Devon,Haas,America/Chicago,wholesale,false,2023-11-15,2025-01-31,24,8583.43,unengaged_12m,false,checkout
MT-20164,quinn.nowak20164@example.com,Quinn,Nowak,America/Chicago,consumer,false,2023-02-23,2026-01-13,3,584.48,engaged_30,false,checkout
MT-20165,rowan.reyes20165@example.com,Rowan,Reyes,America/Chicago,consumer,true,2025-08-12,2025-12-16,2,545.07,engaged_90,false,checkout
MT-20166,leah.ito20166@example.com,Leah,Ito,America/New_York,consumer,false,2026-04-06,2026-01-10,1,268.81,unengaged_12m,false,checkout
MT-20167,dana.torres20167@example.com,Dana,Torres,America/New_York,consumer,false,2023-12-11,2024-06-13,1,283.01,engaged_365,false,checkout
MT-20168,jordan.okada20168@example.com,Jordan,Okada,America/New_York,consumer,false,2023-11-18,2025-03-27,1,381.94,unengaged_12m,true,checkout
MT-20169,yuki.nowak20169@example.com,Yuki,Nowak,America/Los_Angeles,consumer,false,2024-08-30,2025-01-06,1,317.17,engaged_30,false,checkout
MT-20170,ingrid.nowak20170@example.com,Ingrid,Nowak,America/New_York,consumer,false,2025-06-26,2026-06-29,1,296.92,unengaged_12m,true,checkout
MT-20171,felix.ramirez20171@example.com,Felix,Ramirez,America/Los_Angeles,consumer,false,2022-10-28,2024-06-19,2,824.44,engaged_30,false,checkout
MT-20172,alex.torres20172@example.com,Alex,Torres,America/Los_Angeles,consumer,false,2024-08-19,2025-07-23,1,286.87,engaged_30,false,checkout
MT-20173,riley.sy20173@example.com,Riley,Sy,America/New_York,consumer,false,2026-05-19,2025-04-15,1,247.28,engaged_30,true,checkout
MT-20174,quinn.ito20174@example.com,Quinn,Ito,America/Los_Angeles,consumer,false,2025-11-27,2025-07-09,3,1021.88,engaged_365,false,checkout
MT-20175,elena.okada20175@example.com,Elena,Okada,America/Los_Angeles,consumer,false,2025-08-25,2025-09-02,1,352.04,engaged_30,false,checkout
MT-20176,felix.achebe20176@example.com,Felix,Achebe,America/Chicago,consumer,false,2023-04-01,2024-03-31,1,285.37,unengaged_12m,false,checkout
MT-20177,casey.okada20177@example.com,Casey,Okada,America/Chicago,consumer,false,2023-07-28,2026-06-10,1,303.15,unengaged_12m,false,checkout
MT-20178,felix.petrov20178@example.com,Felix,Petrov,America/Los_Angeles,consumer,false,2024-12-25,2025-12-06,2,737.32,engaged_30,false,checkout
MT-20179,riley.kowalski20179@example.com,Riley,Kowalski,America/Los_Angeles,consumer,false,2022-11-11,2026-07-22,1,269.42,engaged_365,false,checkout
MT-20180,leah.ramirez20180@example.com,Leah,Ramirez,America/Los_Angeles,consumer,false,2024-02-27,2025-12-27,1,270.32,engaged_30,false,checkout
MT-20181,ingrid.macleod20181@example.com,Ingrid,MacLeod,America/Los_Angeles,consumer,false,2025-12-16,2024-11-22,1,302.73,unengaged_12m,false,checkout
MT-20182,morgan.ferris20182@example.com,Morgan,Ferris,America/Denver,consumer,false,2022-07-27,2024-07-18,1,280.95,unengaged_12m,false,checkout
MT-20183,ingrid.reyes20183@example.com,Ingrid,Reyes,America/New_York,consumer,true,2023-09-08,2025-12-16,2,591.23,engaged_30,false,checkout
