profile_id,email,first_name,last_name,timezone,email_consent,email_consent_date,sms_consent,sms_consent_date,is_subscriber,first_order_date,last_onetime_order_date,last_subscription_order_date,orders_count,ltv_usd,engagement_tier,suppressed
AB-10023,mara.vega23@example.com,Mara,Vega,America/New_York,true,2025-10-31,false,,false,2025-11-15,2026-01-19,,2,119.51,engaged_30,false
AB-10024,maya.lopez24@example.com,Maya,Lopez,America/Phoenix,true,2026-04-20,false,,false,2026-04-30,2025-06-27,,1,79.79,unengaged_12m,false
AB-10025,kate.rivera25@example.com,Kate,Rivera,America/Los_Angeles,true,2026-03-22,false,,false,2026-03-26,2025-02-26,,3,139.62,engaged_30,false
AB-10026,noemi.lopez26@example.com,Noemi,Lopez,America/Los_Angeles,true,2026-02-08,false,,false,2026-02-27,2025-05-14,,3,106.58,engaged_365,false
AB-10027,gia.fischer27@example.com,Gia,Fischer,America/New_York,true,2025-03-05,false,,false,2025-04-13,2025-11-18,,5,125,unengaged_12m,false
AB-10028,kate.moreau28@example.com,Kate,Moreau,America/Los_Angeles,true,2024-08-14,false,,false,2024-10-10,2025-09-01,,1,35.54,engaged_30,false
AB-10029,noemi.okafor29@example.com,Noemi,Okafor,America/New_York,true,2026-01-17,false,,false,2026-02-07,2025-06-19,,2,145.0,engaged_30,false
AB-10030,dana.sato30@example.com,Dana,Sato,America/New_York,true,2025-05-07,false,,false,2025-06-10,2025-07-17,,5,190.13,unengaged_12m,false
AB-10031,iris.patel31@example.com,Iris,Patel,America/Los_Angeles,true,2025-04-12,false,,false,2025-05-10,2025-12-28,,1,48.01,unengaged_12m,false
AB-10032,lena.sato32@example.com,Lena,Sato,America/Chicago,true,2024-08-25,false,,false,2024-08-28,2026-04-02,,2,106.17,engaged_365,false
AB-10033,noemi.rivera33@example.com,Noemi,Rivera,America/Los_Angeles,true,2024-08-26,false,,false,2024-09-03,2025-04-25,,1,68.12,unengaged_12m,true
AB-10034,lena.weber34@example.com,Lena,Weber,America/New_York,true,2025-08-01,false,,false,2025-08-02,2026-05-19,,3,120.6,unengaged_12m,false
AB-10035,gia.osei35@example.com,Gia,Osei,America/New_York,true,2025-10-27,false,,false,2025-11-26,2026-07-10,,2,165.39,unengaged_12m,false
AB-10036,chloe.rivera36@example.com,Chloe,Rivera,America/Chicago,true,2025-01-18,false,,false,2025-03-16,2026-02-20,,2,100.77,unengaged_12m,false
AB-10037,gia.silva37@example.com,Gia,Silva,America/Los_Angeles,true,2025-07-17,false,,false,2025-08-29,2025-09-25,,1,57.06,engaged_30,false
AB-10038,tessa.weber38@example.com,Tessa,Weber,America/Los_Angeles,true,2024-11-11,false,,false,2024-11-14,2026-04-09,,2,112.37,unengaged_12m,false
AB-10039,june.chen39@example.com,June,Chen,America/New_York,true,2025-06-23,false,,false,2025-06-29,2025-06-06,,1,56.02,unengaged_12m,true
AB-10040,emma.sato40@example.com,Emma,Sato,America/Los_Angeles,true,2025-03-06,false,,false,2025-03-30,2025-02-05,,2,70.18,unengaged_12m,false
AB-10041,dana.sato41@example.com,Dana,Sato,America/Los_Angeles,true,2025-08-14,false,,false,2025-08-17,2025-05-06,,4,294.19,unengaged_12m,true
AB-10042,dana.braun42@example.com,Dana,Braun,America/Chicago,true,2026-06-09,false,,false,2026-06-14,2025-11-19,,1,52.55,engaged_90,false
AB-10043,sasha.moreau43@example.com,Sasha,Moreau,America/Chicago,true,2025-12-03,false,,false,2025-12-30,2025-12-07,,1,80.54,unengaged_12m,false
AB-10044,kate.diaz44@example.com,Kate,Diaz,America/New_York,true,2025-08-21,false,,true,2025-09-15,2025-11-08,2026-07-18,8,430.26,engaged_365,false
AB-10045,noemi.nguyen45@example.com,Noemi,Nguyen,America/New_York,true,2025-08-23,false,,false,2025-09-03,2026-01-25,,1,84.29,engaged_30,false
AB-10046,gia.osei46@example.com,Gia,Osei,America/Los_Angeles,true,2025-11-14,false,,false,2025-12-29,2025-10-25,,1,33.24,unengaged_12m,false
AB-10047,chloe.patel47@example.com,Chloe,Patel,America/New_York,true,2026-05-22,false,,false,2026-06-29,2026-06-25,,2,129.73,engaged_30,false
AB-10048,noemi.patel48@example.com,Noemi,Patel,America/Denver,true,2024-12-31,false,,false,2025-02-26,2025-08-27,,1,76.68,engaged_365,false
AB-10049,maya.moreau49@example.com,Maya,Moreau,America/Los_Angeles,true,2026-04-01,false,,false,2026-05-08,2026-06-17,,1,63.13,engaged_30,false
AB-10050,june.patel50@example.com,June,Patel,America/New_York,true,2024-11-09,false,,false,2024-12-19,2025-02-21,,3,111.02,engaged_30,false
AB-10051,dana.patel51@example.com,Dana,Patel,America/Los_Angeles,true,2025-07-13,false,,false,2025-09-04,2026-05-01,,1,42.28,engaged_30,false
AB-10052,chloe.kim52@example.com,Chloe,Kim,America/New_York,true,2025-09-27,false,,true,2025-11-10,2026-02-15,2026-08-07,6,433.33,unengaged_12m,false
AB-10053,ruby.ali53@example.com,Ruby,Ali,America/New_York,true,2025-09-02,false,,false,2025-10-16,2026-01-20,,3,232.07,unengaged_12m,false
AB-10054,noemi.lopez54@example.com,Noemi,Lopez,America/Chicago,true,2026-01-21,false,,false,2026-02-18,2025-10-19,,1,69.78,unengaged_12m,false
AB-10055,dana.patel55@example.com,Dana,Patel,America/Denver,true,2025-01-08,false,,false,2025-02-16,2026-07-01,,1,75.33,engaged_90,false
AB-10056,gia.nguyen56@example.com,Gia,Nguyen,America/Chicago,true,2025-10-30,false,,true,2025-11-21,2025-05-19,2026-08-07,20,1177.06,engaged_365,false
AB-10057,priya.fischer57@example.com,Priya,Fischer,America/Denver,true,2025-12-21,false,,false,2026-01-09,2025-03-25,,12,720.98,unengaged_12m,false
AB-10058,priya.rossi58@example.com,Priya,Rossi,America/New_York,true,2026-03-07,false,,false,2026-03-28,2025-06-26,,4,194.76,engaged_90,false
AB-10059,noemi.chen59@example.com,Noemi,Chen,America/Chicago,true,2025-06-25,false,,false,2025-08-16,2026-08-09,,1,86.28,unengaged_12m,false
AB-10060,noemi.ali60@example.com,Noemi,Ali,America/New_York,true,2025-06-26,false,,false,2025-07-08,2025-11-10,,2,85.11,engaged_30,false
AB-10061,ruby.ali61@example.com,Ruby,Ali,America/Los_Angeles,true,2026-04-30,false,,false,2026-06-14,2025-12-08,,7,435.29,engaged_365,false
AB-10062,ruby.osei62@example.com,Ruby,Osei,America/New_York,true,2025-10-08,false,,false,2025-11-25,2026-03-06,,10,791.03,unengaged_12m,false
AB-10063,elle.patel63@example.com,Elle,Patel,America/Chicago,true,2025-01-23,false,,false,2025-03-06,2025-01-23,,8,412.66,engaged_30,false
AB-10064,chloe.vega64@example.com,Chloe,Vega,America/Chicago,true,2026-03-13,false,,false,2026-05-03,2026-08-08,,1,66.64,unengaged_12m,false
AB-10065,ruby.braun65@example.com,Ruby,Braun,America/Chicago,true,2026-01-08,false,,false,2026-02-11,2025-09-04,,1,43.95,engaged_365,false
AB-10066,noemi.weber66@example.com,Noemi,Weber,America/Chicago,true,2025-12-27,false,,false,2026-01-01,2025-09-19,,8,505.94,engaged_30,false
AB-10067,elle.weber67@example.com,Elle,Weber,America/New_York,true,2024-07-17,false,,false,2024-09-14,2026-07-04,,8,637.16,unengaged_12m,true
AB-10068,june.nguyen68@example.com,June,Nguyen,America/Los_Angeles,true,2025-03-02,true,2025-04-19,false,2025-04-19,2026-03-05,,1,64.68,engaged_30,false
AB-10069,lena.nguyen69@example.com,Lena,Nguyen,America/Chicago,true,2026-03-05,false,,false,2026-04-22,2025-07-17,,4,241.24,unengaged_12m,false
AB-10070,kate.diaz70@example.com,Kate,Diaz,America/Los_Angeles,true,2026-04-05,false,,true,2026-05-04,2025-05-20,2026-08-03,15,1749.64,unengaged_12m,false
AB-10071,emma.ali71@example.com,Emma,Ali,America/New_York,true,2026-05-09,false,,false,2026-06-14,2025-07-23,,1,32.37,unengaged_12m,false
AB-10072,nora.fischer72@example.com,Nora,Fischer,America/New_York,true,2026-01-02,false,,false,2026-01-10,2024-12-21,,1,94.03,unengaged_12m,true
AB-10073,dana.moreau73@example.com,Dana,Moreau,America/Chicago,true,2025-03-19,false,,false,2025-03-24,2025-05-15,,5,396.69,unengaged_12m,true
AB-10074,june.patel74@example.com,June,Patel,America/Chicago,true,2025-09-08,false,,false,2025-10-30,2025-07-16,,1,39.76,unengaged_12m,true
AB-10075,june.patel75@example.com,June,Patel,America/Phoenix,true,2024-07-18,false,,false,2024-09-07,2026-06-21,,1,127.46,engaged_30,false
AB-10076,gia.diaz76@example.com,Gia,Diaz,America/Los_Angeles,true,2025-09-23,false,,false,2025-11-20,2026-03-23,,2,93.29,unengaged_12m,false
AB-10077,kate.chen77@example.com,Kate,Chen,America/New_York,true,2024-10-14,false,,false,2024-11-27,2025-10-12,,1,82.5,engaged_30,false
AB-10078,cora.haddad78@example.com,Cora,Haddad,America/New_York,true,2025-06-05,false,,false,2025-07-04,2025-04-04,,1,91.02,engaged_30,false
AB-10079,ruby.nguyen79@example.com,Ruby,Nguyen,America/Los_Angeles,true,2026-04-21,false,,false,2026-04-27,2025-06-30,,1,44.46,unengaged_12m,false
AB-10080,noemi.rossi80@example.com,Noemi,Rossi,America/New_York,true,2025-09-17,true,2025-10-16,false,2025-10-16,2025-07-26,,1,36.17,unengaged_12m,false
AB-10081,nora.diaz81@example.com,Nora,Diaz,America/New_York,true,2024-11-27,false,,false,2024-12-16,2025-04-22,,1,69.54,unengaged_12m,false
AB-10082,ruby.sato82@example.com,Ruby,Sato,America/New_York,true,2026-04-23,false,,true,2026-06-05,2025-10-24,2026-07-16,12,861.8,engaged_90,false
AB-10083,gia.osei83@example.com,Gia,Osei,America/New_York,true,2025-12-26,false,,false,2026-02-05,2025-06-19,,4,283.11,unengaged_12m,false
AB-10084,lena.chen84@example.com,Lena,Chen,America/Denver,true,2025-02-28,true,2025-04-14,false,2025-04-14,2025-08-08,,6,402.39,unengaged_12m,false
AB-10085,lena.kim85@example.com,Lena,Kim,America/Los_Angeles,true,2025-02-14,true,2025-04-04,false,2025-04-04,2026-07-20,,1,55.51,engaged_30,false
AB-10086,jade.lopez86@example.com,Jade,Lopez,America/Phoenix,true,2025-11-16,false,,false,2025-12-15,2025-12-15,,1,63.17,engaged_30,false
AB-10087,olivia.vega87@example.com,Olivia,Vega,America/New_York,true,2026-01-16,true,2026-02-15,false,2026-02-15,2026-02-13,,9,448.12,engaged_365,false
AB-10088,ava.novak88@example.com,Ava,Novak,America/New_York,true,2025-10-29,false,,false,2025-11-12,2025-06-05,,1,76.07,engaged_30,false
AB-10089,gia.okafor89@example.com,Gia,Okafor,America/Chicago,true,2024-12-05,false,,false,2025-02-03,2025-12-27,,1,63.4,engaged_90,false
AB-10090,maya.fischer90@example.com,Maya,Fischer,America/New_York,true,2026-05-29,true,2026-06-12,false,2026-06-12,2025-05-13,,1,43.92,unengaged_12m,false
AB-10091,sofia.nguyen91@example.com,Sofia,Nguyen,America/Chicago,true,2025-09-26,false,,true,2025-10-05,2025-11-30,2026-07-20,15,966.03,unengaged_12m,false
AB-10092,amara.patel92@example.com,Amara,Patel,America/Chicago,true,2026-02-07,false,,false,2026-04-03,2026-01-02,,3,245.26,unengaged_12m,false
AB-10093,nora.sato93@example.com,Nora,Sato,America/New_York,true,2025-03-18,false,,false,2025-05-14,2025-09-24,,2,158.57,engaged_90,false
AB-10094,iris.novak94@example.com,Iris,Novak,America/Denver,true,2026-03-03,true,2026-04-11,false,2026-04-11,2025-01-18,,3,206.28,unengaged_12m,false
AB-10095,noemi.osei95@example.com,Noemi,Osei,America/New_York,true,2025-06-30,false,,false,2025-07-16,2026-06-19,,4,265.94,unengaged_12m,false
AB-10096,sasha.patel96@example.com,Sasha,Patel,America/New_York,true,2025-10-11,false,,false,2025-12-08,2025-01-18,,1,27.32,engaged_90,false
AB-10097,wren.moreau97@example.com,Wren,Moreau,America/Chicago,true,2024-11-23,true,2024-12-16,false,2024-12-16,2025-01-17,,8,527.17,engaged_30,false
AB-10098,mara.moreau98@example.com,Mara,Moreau,America/New_York,true,2025-08-06,true,2025-08-31,false,2025-08-31,2025-06-26,,5,276.23,engaged_30,false
AB-10099,gia.rivera99@example.com,Gia,Rivera,America/New_York,true,2025-06-12,false,,false,2025-06-23,2025-07-28,,1,71.17,engaged_90,false
AB-10100,jade.braun100@example.com,Jade,Braun,America/Chicago,true,2025-12-22,false,,false,2026-02-04,2025-06-02,,1,42.11,engaged_30,false
AB-10101,dana.sato101@example.com,Dana,Sato,America/New_York,true,2026-01-20,false,,false,2026-03-19,2025-03-30,,1,43.82,engaged_30,false
AB-10102,ruby.chen102@example.com,Ruby,Chen,America/New_York,true,2026-04-06,false,,false,2026-05-18,2025-11-22,,1,58.06,engaged_30,false
AB-10103,emma.rivera103@example.com,Emma,Rivera,America/Chicago,true,2026-02-10,true,2026-03-03,false,2026-03-03,2025-08-13,,1,73.76,unengaged_12m,false
AB-10104,gia.chen104@example.com,Gia,Chen,America/New_York,true,2026-03-06,false,,false,2026-04-25,2026-04-15,,4,164.47,unengaged_12m,false
AB-10105,jade.haddad105@example.com,Jade,Haddad,America/Los_Angeles,true,2025-05-14,false,,false,2025-07-08,2025-06-26,,1,51.23,unengaged_12m,true
AB-10106,tessa.patel106@example.com,Tessa,Patel,America/Los_Angeles,true,2025-11-27,false,,false,2026-01-22,2025-08-18,,1,47.18,engaged_30,false
AB-10107,kate.novak107@example.com,Kate,Novak,America/New_York,true,2025-12-03,false,,false,2025-12-23,2026-05-25,,1,45.56,engaged_30,false
AB-10108,wren.diaz108@example.com,Wren,Diaz,America/Chicago,true,2024-10-29,false,,false,2024-11-27,2025-09-21,,1,82.62,unengaged_12m,false
AB-10109,sofia.diaz109@example.com,Sofia,Diaz,America/New_York,true,2025-09-04,false,,false,2025-10-05,2026-05-27,,1,51.35,engaged_90,false
AB-10110,dana.chen110@example.com,Dana,Chen,America/New_York,true,2026-04-25,false,,false,2026-04-26,2025-07-13,,2,139.5,engaged_365,false
AB-10111,noemi.chen111@example.com,Noemi,Chen,America/New_York,true,2024-09-10,false,,false,2024-09-14,2025-03-15,,1,60.89,engaged_365,false
AB-10112,maya.ali112@example.com,Maya,Ali,America/New_York,true,2025-06-27,false,,false,2025-07-27,2025-05-19,,8,675.1,engaged_30,false
AB-10113,amara.fischer113@example.com,Amara,Fischer,America/Chicago,true,2025-09-20,false,,false,2025-09-27,2026-06-18,,1,75.11,unengaged_12m,false
AB-10114,kate.nguyen114@example.com,Kate,Nguyen,America/New_York,true,2025-05-22,false,,true,2025-06-13,2025-08-19,2026-08-04,15,1287.72,engaged_365,false
AB-10115,iris.patel115@example.com,Iris,Patel,America/Los_Angeles,true,2025-05-08,false,,false,2025-06-07,2025-01-15,,1,56.58,unengaged_12m,true
AB-10116,jade.novak116@example.com,Jade,Novak,America/Denver,true,2024-12-22,false,,false,2025-01-20,2025-09-28,,1,51.72,engaged_30,false
AB-10117,chloe.nguyen117@example.com,Chloe,Nguyen,America/Los_Angeles,true,2025-10-01,false,,false,2025-11-24,2025-10-12,,23,992.92,engaged_30,false
AB-10118,emma.fischer118@example.com,Emma,Fischer,America/Los_Angeles,true,2025-01-10,false,,false,2025-01-20,2025-07-21,,1,46.08,engaged_30,false
AB-10119,isla.vega119@example.com,Isla,Vega,America/Los_Angeles,true,2025-04-03,false,,false,2025-04-21,2025-12-10,,1,88.24,engaged_90,false
AB-10120,sasha.patel120@example.com,Sasha,Patel,America/Los_Angeles,true,2025-09-28,false,,false,2025-11-16,2026-01-24,,1,50.05,engaged_365,false
AB-10121,june.ali121@example.com,June,Ali,America/Chicago,true,2025-05-26,false,,false,2025-06-17,2026-02-26,,1,92.47,engaged_90,false
AB-10122,sasha.novak122@example.com,Sasha,Novak,America/Los_Angeles,true,2025-01-29,true,2025-03-08,true,2025-03-08,2026-01-19,2026-08-02,16,1407.89,engaged_365,false
AB-10123,isla.moreau123@example.com,Isla,Moreau,America/New_York,true,2025-03-17,false,,false,2025-04-22,2025-08-18,,1,50.61,unengaged_12m,false
AB-10124,cora.chen124@example.com,Cora,Chen,America/New_York,true,2025-06-05,false,,false,2025-06-13,2025-09-01,,11,648.54,engaged_90,false
AB-10125,olivia.chen125@example.com,Olivia,Chen,America/New_York,true,2026-01-20,false,,false,2026-02-21,2026-08-05,,3,195.14,engaged_365,false
AB-10126,ava.moreau126@example.com,Ava,Moreau,America/New_York,true,2024-10-22,false,,false,2024-10-28,2026-06-23,,1,73.36,engaged_90,false
AB-10127,kate.vega127@example.com,Kate,Vega,America/Chicago,true,2025-01-23,false,,true,2025-02-17,2026-01-15,2026-07-31,5,357.72,unengaged_12m,false
AB-10128,sasha.rossi128@example.com,Sasha,Rossi,America/New_York,true,2024-07-11,false,,false,2024-09-01,2025-03-09,,2,90.32,unengaged_12m,false
AB-10129,tessa.diaz129@example.com,Tessa,Diaz,America/New_York,true,2025-05-12,false,,false,2025-06-26,2026-06-02,,1,59.5,engaged_30,false
AB-10130,gia.silva130@example.com,Gia,Silva,America/Los_Angeles,true,2025-06-18,false,,false,2025-08-07,2025-04-22,,1,52.19,unengaged_12m,false
AB-10131,priya.haddad131@example.com,Priya,Haddad,America/Los_Angeles,true,2025-03-26,false,,true,2025-04-01,2026-05-23,2026-07-28,8,600.8,engaged_365,false
AB-10132,ruby.fischer132@example.com,Ruby,Fischer,America/New_York,true,2025-02-24,false,,false,2025-03-16,2026-06-23,,1,62.24,engaged_90,false
AB-10133,jade.moreau133@example.com,Jade,Moreau,America/New_York,true,2025-04-25,false,,false,2025-05-30,2026-01-31,,2,100.56,unengaged_12m,false
AB-10134,priya.rossi134@example.com,Priya,Rossi,America/Los_Angeles,true,2026-03-10,true,2026-04-20,false,2026-04-20,2025-09-16,,2,167.01,unengaged_12m,false
AB-10135,jade.patel135@example.com,Jade,Patel,America/New_York,true,2025-04-29,true,2025-05-03,false,2025-05-03,2025-05-10,,1,73.63,engaged_90,false
AB-10136,iris.vega136@example.com,Iris,Vega,America/Phoenix,true,2026-03-27,false,,false,2026-05-16,2026-07-10,,1,50.89,unengaged_12m,false
AB-10137,sasha.ali137@example.com,Sasha,Ali,America/New_York,true,2024-09-02,false,,true,2024-09-21,2025-07-01,2026-07-31,11,538.92,engaged_30,false
AB-10138,iris.rossi138@example.com,Iris,Rossi,America/New_York,true,2026-01-20,false,,true,2026-02-23,2025-10-01,2026-07-29,11,619.01,engaged_30,false
AB-10139,noemi.silva139@example.com,Noemi,Silva,America/New_York,true,2025-03-15,false,,false,2025-04-13,2025-03-26,,1,75.38,unengaged_12m,false
AB-10140,olivia.okafor140@example.com,Olivia,Okafor,America/Chicago,true,2025-03-20,false,,false,2025-04-14,2026-06-05,,12,953.91,engaged_90,false
AB-10141,ruby.patel141@example.com,Ruby,Patel,America/Los_Angeles,true,2024-08-22,false,,false,2024-09-28,2025-12-24,,1,25,engaged_90,false
AB-10142,chloe.novak142@example.com,Chloe,Novak,America/New_York,true,2025-06-13,true,2025-07-09,false,2025-07-09,2026-05-14,,1,39.93,engaged_365,false
AB-10143,tessa.diaz143@example.com,Tessa,Diaz,America/Chicago,true,2024-11-17,false,,false,2024-12-02,2025-05-07,,1,85.83,unengaged_12m,false
AB-10144,amara.rossi144@example.com,Amara,Rossi,America/New_York,true,2024-11-17,false,,false,2024-12-26,2026-06-15,,2,162.86,engaged_90,false
AB-10145,amara.novak145@example.com,Amara,Novak,America/New_York,true,2025-11-10,false,,false,2025-11-25,2026-05-22,,1,104.65,unengaged_12m,false
AB-10146,kate.osei146@example.com,Kate,Osei,America/New_York,true,2024-09-17,false,,false,2024-10-22,2025-08-30,,1,51.06,unengaged_12m,true
AB-10147,june.chen147@example.com,June,Chen,America/Los_Angeles,true,2026-05-18,false,,true,2026-05-28,2025-05-17,2026-07-27,19,1174.64,engaged_30,false
AB-10148,sasha.rivera148@example.com,Sasha,Rivera,America/Chicago,true,2025-08-21,true,2025-09-20,false,2025-09-20,2025-05-03,,2,115.33,unengaged_12m,false
AB-10149,maya.haddad149@example.com,Maya,Haddad,America/New_York,true,2025-11-23,false,,false,2025-12-17,2025-09-18,,1,74.77,engaged_30,false
AB-10150,iris.weber150@example.com,Iris,Weber,America/New_York,true,2024-12-11,true,2024-12-15,false,2024-12-15,2026-03-19,,1,62.48,engaged_90,false
AB-10151,ruby.weber151@example.com,Ruby,Weber,America/Los_Angeles,true,2026-01-10,false,,false,2026-01-31,2026-01-28,,3,213.57,unengaged_12m,false
AB-10152,priya.fischer152@example.com,Priya,Fischer,America/Chicago,true,2025-02-06,false,,false,2025-02-19,2025-08-14,,1,82.11,unengaged_12m,true
AB-10153,ruby.diaz153@example.com,Ruby,Diaz,America/Chicago,true,2024-07-03,false,,false,2024-08-24,2026-04-22,,1,54.79,engaged_365,false
AB-10154,lena.rossi154@example.com,Lena,Rossi,America/Los_Angeles,true,2025-04-15,false,,false,2025-05-29,2025-07-11,,1,46.19,engaged_90,false
AB-10155,wren.osei155@example.com,Wren,Osei,America/New_York,true,2024-09-19,false,,false,2024-10-26,2025-08-28,,1,55.53,unengaged_12m,false
AB-10156,iris.novak156@example.com,Iris,Novak,America/New_York,true,2025-01-20,false,,false,2025-02-16,2026-03-11,,1,89.62,unengaged_12m,false
AB-10157,amara.novak157@example.com,Amara,Novak,America/New_York,true,2025-12-09,false,,false,2026-01-28,2025-08-31,,1,68.89,unengaged_12m,false
AB-10158,amara.osei158@example.com,Amara,Osei,America/Chicago,true,2025-02-15,false,,false,2025-03-14,2026-07-14,,3,131.28,unengaged_12m,false
AB-10159,lena.braun159@example.com,Lena,Braun,America/Chicago,true,2024-10-18,false,,false,2024-11-23,2025-07-17,,1,81.83,engaged_365,false
AB-10160,mara.lopez160@example.com,Mara,Lopez,America/New_York,true,2026-02-01,false,,false,2026-03-23,2026-01-14,,1,44.52,engaged_90,false
AB-10161,wren.vega161@example.com,Wren,Vega,America/Los_Angeles,true,2026-04-20,false,,false,2026-05-11,2025-01-13,,2,137.58,engaged_365,false
AB-10162,mara.diaz162@example.com,Mara,Diaz,America/Chicago,true,2025-12-14,false,,false,2026-01-17,2025-11-13,,1,39.86,unengaged_12m,false
AB-10163,chloe.lopez163@example.com,Chloe,Lopez,America/New_York,true,2025-07-30,false,,false,2025-09-12,2025-03-28,,3,171.97,unengaged_12m,false
AB-10164,iris.osei164@example.com,Iris,Osei,America/Los_Angeles,true,2025-09-21,false,,false,2025-10-06,2025-08-22,,1,41.83,unengaged_12m,false
AB-10165,olivia.patel165@example.com,Olivia,Patel,America/New_York,true,2026-04-13,false,,false,2026-04-24,2025-11-21,,1,51.96,engaged_90,false
AB-10166,chloe.kim166@example.com,Chloe,Kim,America/Los_Angeles,true,2024-11-03,true,2024-12-15,false,2024-12-15,2025-12-05,,2,156.39,engaged_365,false
AB-10167,amara.lopez167@example.com,Amara,Lopez,America/Chicago,true,2025-04-04,false,,true,2025-05-16,2026-06-11,2026-08-01,12,970.87,engaged_30,false
AB-10168,isla.sato168@example.com,Isla,Sato,America/Denver,true,2025-03-09,false,,false,2025-03-13,2026-06-11,,1,76.49,engaged_90,false
AB-10169,sofia.braun169@example.com,Sofia,Braun,America/New_York,true,2026-04-19,false,,false,2026-06-05,2026-02-11,,5,530.38,engaged_30,false
AB-10170,maya.weber170@example.com,Maya,Weber,America/Los_Angeles,true,2025-07-23,false,,false,2025-09-20,2025-09-01,,4,341.12,engaged_30,false
AB-10171,kate.osei171@example.com,Kate,Osei,America/Chicago,true,2026-01-12,false,,false,2026-02-26,2026-01-25,,4,253.43,engaged_365,false
AB-10172,jade.haddad172@example.com,Jade,Haddad,America/Los_Angeles,true,2025-11-29,false,,false,2026-01-04,2025-06-21,,1,54.17,unengaged_12m,true
AB-10173,amara.nguyen173@example.com,Amara,Nguyen,America/New_York,true,2025-11-13,true,2026-01-05,false,2026-01-05,2025-11-29,,8,598.82,engaged_30,false
AB-10174,tessa.lopez174@example.com,Tessa,Lopez,America/New_York,true,2025-07-10,false,,false,2025-08-10,2026-06-08,,1,61.54,unengaged_12m,false
